Fecha,SR16643,SR16644,SR16645,SR16646,SR16647,SR16648,SR16649,SR16650,SR16651,SR16652,SR16674,SR16675,SR16676,SR16677,SR16678,SR16679,SR16680,SR16681,SR16682,SR16683,SR16684,SR16685,SR16686,SR16687,SR16688,SR16689
Oct-Dic 1997,4352700.3,216482.1,4136218.3,202480.7,202480.7,1485643.6,283251.9,64654.6,276753.8,860983.3,2448094,360866.8,408518,249166.5,64714.8,74123.4,518178.2,62886.2,23634.7,147434.7,127459.4,66852,20078.9,104289.7,98304.1,121586.5
Ene-Mar 1998,4513431.5,216750.5,4296681.1,189194.7,189194.7,1546370.1,242313.5,65287.6,300793.7,937975.3,2561116.3,333132.5,393603.7,267923.8,67959.1,83382,565557.1,64064,24139.6,174393.4,133423,70339.2,23839.1,116728.6,102865.7,139765.4
Abr-Jun 1998,4726991.3,230184.2,4496807,192862.1,192862.1,1554828.5,259190.4,66701.8,299288.2,929648.1,2749116.4,361093.9,402485.7,284916.6,71485.4,85389.7,615074.5,78513.9,27875,191448.3,152562.9,72927.8,24905.1,129652.6,108752.8,142032.1
Jul-Sep 1998,4869907.7,243694.5,4626213.2,190185.7,190185.7,1691075.6,277012.5,73244.2,366063.8,974755.1,2744951.9,368138.2,412763.5,297863,75200.4,86033.4,607200,70508.8,20176.2,165536.4,150474.4,78643.9,22731.9,136130.9,109605.3,143945.5
Oct-Dic 1998,5130163.4,273794,4856369.3,227912.4,227912.4,1727129,267721.7,78610.8,353466,1027330.5,2901327.9,387058.3,458306.9,305250,74530,94555.3,628122,83041.5,24927.6,176969.6,162757.9,89680,21791.2,130996.8,117547.3,145793.5
Ene-Mar 1999,5362992,286011.1,5076980.9,233874,233874,1811344.9,270804.2,87627.2,383008.7,1069904.9,3031762,367987.8,441729.6,326469.3,80616,106089.7,658877.8,82559.3,26077.4,210057.5,167167.6,92555.2,28902.6,147295.6,122960.6,172416.2
Abr-Jun 1999,5652894.9,292086.2,5360808.6,199781.4,199781.4,1892136.6,332863.7,91779.2,367176.2,1100317.4,3268890.7,417866.2,467451.6,345738.8,89993,110061.6,699621.5,104519,31273.9,226019.9,191720.9,95237.3,27956.2,155753.4,130623.8,175053.6
Jul-Sep 1999,5846010.2,296104.5,5549905.7,187112.9,187112.9,2071207.5,402552.2,98688.8,434576.1,1135390.4,3291585.3,433364.6,489538.2,361264,96966.9,112623.4,688899.5,93611.1,22958.3,203399.9,183188.1,103021.1,25187.3,165821.2,132936,178805.7
Oct-Dic 1999,6091968.5,315873.6,5776094.9,224178.8,224178.8,2058164.5,411083,103873.4,422130,1121078,3493751.6,461878.4,563199.7,366137.5,101346.3,118047.1,711774.2,107599.6,28071.7,217409,199209.3,110549.4,28150,156426.3,139935.9,184017.3
Ene-Mar 2000,6412026.4,313794.2,6098232.2,218584.6,218584.6,2229959.6,428271.5,100146.1,465247.6,1236294.4,3649688,437210.6,568412.4,391950.6,101206.9,116071.4,755672.3,107882.9,31304.5,248826.2,205871.1,111276.2,31853.6,177571.6,145163.4,219414.2
Abr-Jun 2000,6660435.4,305104,6355331.4,221003,221003,2232632.3,413398.8,102043.8,461555.1,1255634.6,3901696.1,485175.1,600206.4,414542.1,108094.8,110270.2,806291.9,134814.5,35995.9,267708.9,225856.7,113418.3,32468.7,191541.3,150583.6,224727.5
Jul-Sep 2000,6803750,314983,6488767,194263,194263,2402066.7,437368.2,107497.8,533480.4,1323720.4,3892437.3,498421.9,620561.5,431950,112344.9,112472.2,787944.5,117271.3,26155.2,237925.5,215760.6,121760.4,30529.8,199405.2,151529.5,228404.9
Oct-Dic 2000,6898520.3,315124.9,6583395.4,255896.9,255896.9,2294898.5,428829.9,111718.1,486053.3,1268297.1,4032600.1,510954.4,664504.5,426898.1,114957.5,117964.2,802756.5,131996.2,30101.5,257798.4,232587,128898.3,31829.2,191269.9,159215.8,230868.6
Ene-Mar 2001,6972344.3,348065.2,6624279.1,222553.7,222553.7,2391498,479438.8,112462.6,487274.9,1312321.8,4010227.3,442180.5,599587.8,430637.1,116887.2,147948,830931.7,128032.3,32589.6,270123.9,238416.2,133201.2,34712.8,207158.7,159168.1,238652.2
Abr-Jun 2001,7097269.3,331327.5,6765941.9,244080,244080,2313862.8,464930.6,114258.2,459295.1,1275378.9,4207999.1,481202,600150.3,442836.4,125002.7,151436.6,871934.6,157447.4,36337.1,280697,264116.8,139028.2,33270.4,216881.5,165906.6,241751.5
Jul-Sep 2001,7098960.8,347607.5,6751353.3,216801.1,216801.1,2441306.6,487177.9,118651.4,556922.8,1278554.4,4093245.6,474349.7,591974.6,446751.2,128277.1,157474,842981.7,134984.4,25715.3,242081.9,250098.1,141249.3,31457.4,214769.1,163531.9,247550.1
Oct-Dic 2001,7108934.7,384991.4,6723943.3,278923.8,278923.8,2246369.4,385060.1,121726.1,501211.9,1238371.4,4198650.1,475454.5,631751.3,434086.6,127947,162491,856866.6,149321.7,29939.4,260759.7,267057.1,150076.1,32306.5,194639.9,169493,256459.7
Ene-Mar 2002,6989364.9,375261.6,6614103.3,230606.6,230606.6,2260948.7,419912.3,118613.5,487345.6,1235077.3,4122547.9,405335.1,572446.9,425219.3,124878.3,163494.6,878319,137303.3,33128.2,274762.4,268472.2,147870.2,35936.9,213156.9,169637,272587.7
Abr-Jun 2002,7583211.7,390805.1,7192406.6,244610.3,244610.3,2463219.6,530017.1,129971.6,499151.2,1304079.8,4484576.7,487922.7,650002.9,456332.2,133807.1,163196.3,924940.8,172436,38190.9,293306.4,295897.5,152540.4,37268.4,220657.7,177174.2,280903.4
Jul-Sep 2002,7550711.1,378376.9,7172334.2,220319.1,220319.1,2560003.3,539331.3,139130.9,572684.1,1308856.9,4392011.9,492268.7,655948.3,458649.5,135657.4,163678.9,906421.2,148079.3,27852.1,259909.4,272660.6,156811.3,35266.1,218414.1,173396.1,286998.8
Oct-Dic 2002,7698549,396197.9,7302351.1,282107.9,282107.9,2470657.8,481220.9,145412.1,542527.9,1301496.9,4549585.4,507545.6,702128.4,450308.4,137030.2,165689.9,928104.4,166431.6,33491.4,286190.3,296118.9,163632.3,37347,204107.1,180009.9,291450.1
